المحور,رقم المعيار,المعيار
تنظيم المدينة الصحية,1,وجود مكتب للمدينة الصحية ومسؤول تنسيق يعمل بدوام كامل
تنظيم المدينة الصحية,2,وجود لجنة تنسيق للمدينة الصحية (أعضاء من قطاعات مختلفة)
تنظيم المدينة الصحية,3,عقد اجتماعات دورية للجنة التنسيق (مرة كل شهر على الأقل)
تنظيم المدينة الصحية,4,تخصيص ميزانية سنوية لتنفيذ أنشطة برنامج المدينة الصحية
تنظيم المدينة الصحية,5,وجود التزام سياسي معلن ودعم من السلطات المحلية (المحافظ/العمدة)
تنظيم المدينة الصحية,6,وجود خطة عمل سنوية معتمدة للمدينة الصحية
تنظيم المدينة الصحية,7,توفر نظام للتوثيق والتبليغ عن أنشطة البرنامج
تنظيم المدينة الصحية,8,إشراك القطاع الخاص في دعم مشاريع المدينة الصحية
تعبئة المجتمع,9,تشكيل لجان تنمية مجتمعية في الأحياء
تعبئة المجتمع,10,انتخاب/اختيار متطوعين صحيين ومجتمعيين لكل 50 عائلة
تعبئة المجتمع,11,تدريب المتطوعين على المسح الأساسي وتقييم الاحتياجات
تعبئة المجتمع,12,إشراك المجتمع في تحديد الأولويات ووضع خطط العمل
تعبئة المجتمع,13,إجراء المسح الأساسي للعائلات وتحديث البيانات دورياً
تعبئة المجتمع,14,توفر مشاريع مجتمعية ممولة ذاتياً أو من خلال شراكات محلية
تعبئة المجتمع,15,إشراك الفئات المستضعفة في أنشطة تنمية المجتمع
تعبئة المجتمع,16,وجود قنوات اتصال فعالة بين المجتمع ولجنة التنسيق
التعاون بين القطاعات,17,تنسيق البرامج الصحية مع قطاع التعليم (المدارس الصحية)
التعاون بين القطاعات,18,التنسيق مع قطاع البلدية (الإصحاح البيئي والمياه)
التعاون بين القطاعات,19,التعاون مع قطاع الرياضة والشباب لتوفير مرافق رياضية
التعاون بين القطاعات,20,العمل المشترك مع قطاع الأمن لتعزيز السلامة العامة
التعاون بين القطاعات,21,مشاركة قطاع الزراعة/التجارة في ضمان سلامة الغذاء
التعاون بين القطاعات,22,تكامل الجهود مع الجمعيات الخيرية والمنظمات غير الحكومية
التعاون بين القطاعات,23,توفير قاعدة بيانات مشتركة بين القطاعات المختلفة
التعاون بين القطاعات,24,عقد ورش عمل مشتركة للقطاعات لمناقشة المحددات الاجتماعية للصحة
القروض الصغيرة,25,وجود نظام للقروض الصغيرة لدعم الأسر الفقيرة
القروض الصغيرة,26,استهداف النساء والشباب في مشاريع توليد الدخل
القروض الصغيرة,27,توفير تدريب مهني للمستفيدين من القروض
القروض الصغيرة,28,نسبة استرداد القروض تتجاوز 90%
القروض الصغيرة,29,استخدام أرباح القروض في مشاريع تنموية مجتمعية
التعليم ومحو الأمية,30,نسبة التحاق الأطفال بالتعليم الابتدائي (بنين وبنات) تصل لـ 100%
التعليم ومحو الأمية,31,تنفيذ برامج لمحو أمية الكبار (خاصة النساء)
التعليم ومحو الأمية,32,توفر بيئة مدرسية صحية (مياه شرب آمنة وصرف صحي)
التعليم ومحو الأمية,33,إدراج المفاهيم الصحية والبيئية في الأنشطة اللامنهجية
التعليم ومحو الأمية,34,متابعة المتسربين من التعليم وإعادتهم للمدارس
التنمية الصحية,35,نسبة التغطية بالتحصينات الأساسية للأطفال تتجاوز 95%
التنمية الصحية,36,توفر رعاية ما قبل الولادة لجميع الحوامل
التنمية الصحية,37,وجود نظام لمتابعة نمو الأطفال وحالات سوء التغذية
التنمية الصحية,38,تشجيع الرضاعة الطبيعية الخالصة لمدة 6 أشهر
التنمية الصحية,39,توفر خدمات تنظيم الأسرة والمشورة الصحية
التنمية الصحية,40,مكافحة التدخين في الأماكن العامة والمرافق الحكومية
التنمية الصحية,41,تنفيذ برامج للتوعية بالأمراض غير السارية (السكري، الضغط)
التنمية الصحية,42,توفر خدمات الصحة النفسية على مستوى المجتمع
التنمية الصحية,43,مكافحة الأمراض المعدية وتفعيل نظام الترصد الوبائي
التنمية الصحية,44,دعم حقوق الأشخاص ذوي الإعاقة ودمجهم مجتمعياً
المياه والصرف الصحي والبيئة,45,وصول المياه الصالحة للشرب لجميع المنازل
المياه والصرف الصحي والبيئة,46,توفر نظام آمن للتخلص من الفضلات البشرية (صرف صحي)
المياه والصرف الصحي والبيئة,47,وجود نظام دوري لجمع ومعالجة النفايات الصلبة
المياه والصرف الصحي والبيئة,48,مكافحة الحشرات والقوارض في الأحياء السكنية
المياه والصرف الصحي والبيئة,49,زيادة المساحات الخضراء والحدائق العامة
المياه والصرف الصحي والبيئة,50,مراقبة جودة الهواء وتقليل التلوث الصناعي
المياه والصرف الصحي والبيئة,51,حماية مصادر المياه من التلوث
المياه والصرف الصحي والبيئة,52,نظافة الشوارع والأسواق العامة
الغذاء والبيئة,53,تطبيق معايير السلامة الصحية في المطاعم والمنشآت الغذائية
الغذاء والبيئة,54,توفر أغذية صحية وبأسعار معقولة في الأسواق
الغذاء والبيئة,55,مراقبة متبقيات المبيدات في الخضروات والفواكه
الغذاء والبيئة,56,تنفيذ برامج توعوية حول العادات الغذائية الصحية
سلامة الأغذية,57,وجود نظام للتفتيش الدوري على المحلات التجارية والمسالخ
سلامة الأغذية,58,تدريب متداولي الأغذية على أسس النظافة الشخصية
سلامة الأغذية,59,التخلص السليم من الأغذية المنتهية الصلاحية أو التالفة
سلامة الأغذية,60,إجراء فحوصات مخبرية دورية لعينات الغذاء
تخطيط الطوارئ,61,وجود خطة محلية للاستعداد للطوارئ والكوارث
تخطيط الطوارئ,62,تدريب المتطوعين على الإسعافات الأولية والإنقاذ
تخطيط الطوارئ,63,تحديد مناطق الإيواء والمجموعات الأكثر عرضة للخطر
تخطيط الطوارئ,64,توفر نظام للإنذار المبكر في حالات الكوارث الطبيعية
تخطيط الطوارئ,65,توفير مخزون احتياطي من الأدوية والمستلزمات الطبية للطوارئ
تخطيط الطوارئ,66,إجراء تمارين محاكاة دورية لخطط الطوارئ
السلامة العامة,67,توفير إضاءة كافية في الشوارع والأماكن العامة
السلامة العامة,68,صيانة الطرق وتوفير ممرات آمنة للمشاة
السلامة العامة,69,تطبيق معايير السلامة المرورية للحد من الحوادث
السلامة العامة,70,توفر مراكز للدفاع المدني والإطفاء وسهولة وصولها
السلامة العامة,71,خفض معدلات الجريمة والعنف من خلال التوعية الأمنية
السلامة العامة,72,توفير بيئة آمنة للأطفال في الملاعب والحدائق
الرصد والتقييم,73,وجود مؤشرات أداء واضحة لقياس تقدم البرنامج
الرصد والتقييم,74,إعداد تقارير دورية (ربع سنوية/سنوية) عن الإنجازات
الرصد والتقييم,75,إجراء تقييم ذاتي للمدينة باستخدام قائمة المعايير (80 معيار)
الرصد والتقييم,76,توفر خرائط صحية للمدينة توضح توزيع الخدمات والفجوات
الرصد والتقييم,77,مشاركة المجتمع في عملية رصد ومراقبة الخدمات
الرصد والتقييم,78,استخدام نتائج التقييم في تعديل خطط العمل المستقبلية
الرصد والتقييم,79,تبادل الخبرات مع المدن الصحية الأخرى في الشبكة الوطنية
الرصد والتقييم,80,توثيق قصص النجاح والمبادرات المبتكرة ونشرها
